LotArea,GrLivArea,CentralAir,Cond,Qual,SalePrice
7819,1422,Y,6B,5B,149740.883297563
8750,2646,Y,6B,5B,179535.937228851
7313,902,Y,6B,5B,124894.644671696
10010,1456,N,6B,5B,163962.748382417
8000,1511,N,6B,5B,128791.298559883
8450,1824,Y,6B,5B,204991.564558996
9291,1576,Y,6B,5B,168695.68723918
10207,1026,Y,6B,5B,133529.949500754
9098,1144,Y,6B,5B,184772.368429996
12803,2466,Y,6B,5B,204829.391785401
6000,1250,Y,6B,5B,149881.874217443
9525,1301,Y,6B,5B,156891.21033471
2268,1386,Y,6B,5B,151698.592066538
8820,2200,Y,6B,5B,132125.179311071
8521,1593,Y,6B,5B,170977.325932439
9965,1573,Y,6B,5B,141220.912210935
3182,861,Y,6B,5B,150621.504500039
9360,1867,Y,6B,5B,197097.040857836
10791,1634,Y,6B,5B,167241.747492476
6240,1430,Y,6B,5B,153160.27037422
9600,1302,Y,6B,5B,152029.727856299
1890,1098,Y,6B,5B,126671.162179596
9600,1065,Y,6B,5B,169653.434470815
7252,2229,N,6B,5B,125157.384184856
11606,1960,Y,6B,5B,171662.166130083
11841,1595,Y,6B,5B,162505.7518699
8004,2243,Y,6B,5B,136048.33104001
4224,1208,N,6B,5B,160042.796348967
12244,1479,Y,6B,5B,138583.094829615
21384,2713,Y,6B,5B,206812.70729268
9382,2259,Y,6B,5B,165959.037782086
4043,1392,Y,6B,5B,149233.5937559
7134,1216,Y,6B,5B,143742.102676586
11645,1034,N,6B,5B,127971.231981843
7000,1426,Y,6B,5B,191219.780158434
6442,1610,Y,6B,5B,191421.815035764
12220,1714,Y,6B,5B,163874.731754735
21535,1029,Y,6B,5B,135853.934407236
10625,1442,Y,6B,5B,175943.889882268
11475,1682,Y,6B,5B,160183.953881801
2289,882,Y,6B,5B,131868.12288002
10500,1796,Y,6B,5B,178032.109329741
10400,1080,Y,6B,5B,153112.400039413
7990,2230,Y,6B,5B,173819.873682107
25095,1949,Y,6B,5B,171742.636058595
14157,2872,Y,6B,5B,231923.329160636
5306,2019,Y,6B,5B,200553.772121108
12327,1501,Y,6B,5B,225034.667905053
11838,752,Y,6B,5B,91722.8896864767
7819,1363,Y,6B,5B,176747.198307302
6240,2042,Y,6B,5B,177913.784535996
12150,1344,Y,6B,5B,204363.00839116
8520,1224,Y,6B,5B,170784.985424997
12137,1302,Y,6B,5B,157226.504576191
9200,2612,Y,6B,5B,208075.812721167
6120,899,N,6B,5B,137007.431737814
9480,1498,Y,6B,5B,207448.503165041
9945,1416,Y,6B,5B,146702.169185725
11404,1419,Y,6B,5B,135947.285707782
6130,1836,N,6B,5B,201968.444539303
7758,1728,Y,6B,5B,145796.050049751
8246,1376,Y,6B,5B,127922.677884092
12182,864,Y,6B,5B,99838.9785401651
3000,1146,Y,6B,5B,147566.334311829
11952,1297,N,6B,5B,201090.297450158
2665,1392,Y,6B,5B,173280.241743641
11782,1600,Y,6B,5B,172789.576176687
9250,1340,Y,6B,5B,174929.909116844
10200,1728,Y,6B,5B,177819.16733936
9066,1855,Y,6B,5B,182373.105927061
11249,1288,Y,6B,5B,210067.178662894
2289,1389,N,6B,5B,149811.55930982
8712,904,Y,6B,5B,119147.620411933
6240,1080,Y,6B,5B,148730.89285497
10000,1744,Y,6B,5B,177108.014332076
8235,1688,Y,6B,5B,199774.396719531
13560,1422,N,6B,5B,134294.787074899
15138,1732,Y,6B,5B,231634.741280358
14803,3228,Y,6B,5B,216712.415672688
10000,3493,Y,6B,5B,201892.408042834
9286,1192,Y,6B,5B,174214.279301679
22950,900,Y,6B,5B,194695.58538561
12702,1786,Y,6B,5B,231418.711578995
8250,1113,Y,6B,5B,166921.523970758
1680,2646,Y,6B,5B,217857.925143284
13500,1200,Y,6B,5B,197760.091883816
7892,1152,Y,6B,5B,115197.541306161
7917,1126,Y,6B,5B,139053.968323593
5000,1372,Y,6B,5B,173991.492226708
11075,1389,Y,6B,5B,150358.764596498
9144,900,N,6B,5B,171912.175684029
7446,1894,Y,6B,5B,222782.418079481
9600,1349,Y,6B,5B,167868.268334496
10134,1689,Y,6B,5B,250051.645570645
7018,987,Y,6B,5B,121074.883980295
9591,827,Y,6B,5B,183059.289655444
6060,1680,Y,6B,5B,152004.399449637
10240,1696,Y,6B,5B,168621.323017632
9900,825,Y,6B,5B,172615.009230037
7472,3140,Y,6B,5B,176237.21754915
7314,980,Y,6B,5B,143381.547926528
7259,2126,Y,6B,5B,206793.640788851
14803,747,Y,6B,5B,145181.510181535
8314,1212,Y,6B,5B,235149.723654587
3922,768,Y,6B,5B,130604.195819335
34650,928,Y,6B,5B,167085.431935867
6240,1641,Y,6B,5B,194307.769523417
13710,1775,Y,6B,5B,177560.84342435
14260,1517,Y,6B,5B,149534.919776318
8100,1381,Y,6B,5B,176390.429736181
16635,1768,N,6B,5B,163089.234967841
3982,1502,Y,6B,5B,173329.678138297
4800,1304,Y,6B,5B,185337.058492122
8532,1905,Y,6B,5B,220807.14800222
10142,1961,Y,6B,5B,212488.893847995
12464,1077,Y,6B,5B,148455.415166934
10500,1392,Y,6B,5B,167815.493847867
1596,1337,Y,6B,5B,132112.371877721
9571,1349,Y,6B,5B,155740.241998246
14762,2380,Y,6B,5B,194428.743041102
6442,1393,Y,6B,5B,155950.242012666
10832,1396,Y,6B,5B,182553.131367164
5000,1470,Y,6B,5B,145872.960080833
10800,1363,Y,6B,5B,124755.176322547
5232,2728,Y,6B,5B,244545.420826197
9590,904,Y,6B,5B,140048.141481142
8963,1144,Y,6B,5B,140689.803667102
15660,912,Y,6B,5B,210575.798150662
13346,1826,N,6B,5B,165760.595457522
9600,1040,Y,6B,5B,149276.761774039
7000,1416,Y,6B,5B,167930.481449848
11500,1135,N,6B,5B,102141.354554056
8820,1982,Y,6B,5B,214132.565800477
8520,1317,Y,6B,5B,176411.767437605
11475,2520,Y,6B,5B,201331.511978859
16492,2256,N,6B,5B,188235.438489812
1491,1456,Y,6B,5B,145268.571022041
11207,987,Y,6B,5B,163667.2407903
6120,1050,Y,6B,5B,96703.0951726239
12508,2730,Y,6B,5B,259431.212602171
7000,2403,Y,6B,5B,188132.850490877
14587,1192,Y,6B,5B,203440.657490813
12155,1484,Y,6B,5B,174871.366775485
10237,1392,Y,6B,5B,166315.627409927
8160,1121,Y,6B,5B,147500.70170882
13418,2376,Y,6B,5B,172837.956064357
1491,1250,Y,6B,5B,169093.925357039
115149,2267,Y,6B,5B,209246.545153212
2500,1277,Y,6B,5B,177260.387500389
10197,773,Y,6B,5B,100427.512889852
14145,1120,Y,6B,5B,146565.201632412
2308,1960,Y,6B,5B,120736.244392856
1680,1640,Y,6B,5B,187046.850356937
9800,1767,Y,6B,5B,148245.495623052
7153,1306,N,6B,5B,158629.59115689
8712,1040,Y,6B,5B,124719.114825062
7711,1632,Y,6B,5B,159325.929483091
9591,1924,Y,6B,5B,194615.096548093
15660,1362,Y,6B,5B,184739.189340545
7332,1358,Y,6B,5B,186501.578811257
10603,864,Y,6B,5B,152358.976959203
7390,1412,Y,6B,5B,143769.825148235
14006,1386,Y,6B,5B,225283.746224541
8410,1440,Y,6B,5B,218134.131923889
13673,2084,N,6B,5B,234635.479238778
6300,1973,Y,6B,5B,207670.255519872
7920,999,Y,6B,5B,162097.997741227
8760,1214,Y,6B,5B,171612.454536458
8633,1484,Y,6B,5B,144440.580802668
7590,1788,Y,6B,5B,168277.278445849
10800,1756,Y,6B,5B,217399.704049457
4712,988,Y,6B,5B,126363.792943098
7795,1694,Y,6B,5B,211292.7802154
11425,1135,Y,6B,5B,128907.422187846
7892,1208,Y,6B,5B,127060.765108774
7819,1126,N,6B,5B,128035.404702828
8163,1588,Y,6B,5B,173107.670037163
7313,1040,Y,6B,5B,156296.75044286
9158,1393,Y,6B,5B,132526.402179919
8973,1494,Y,6B,5B,177006.033976914
10150,334,Y,6B,5B,127393.908422627
13704,1971,Y,6B,5B,202290.542963198
13695,1370,N,6B,5B,169578.985317602
8250,1086,Y,6B,5B,152956.625146079
12160,900,Y,6B,5B,131588.39055945
13560,901,Y,6B,5B,114018.824340437
10593,1200,Y,6B,5B,144747.217751828
12227,2654,Y,6B,5B,234026.999257195
9101,2042,Y,6B,5B,202408.805742416
11394,1004,Y,6B,5B,140605.275986359
6324,1484,Y,6B,5B,127214.363131434
11782,2392,Y,6B,5B,216264.142889692
8963,1142,Y,6B,5B,195935.499639038
9600,1604,Y,6B,5B,165978.382682383
7018,3608,Y,6B,5B,235487.839132628
9020,1536,Y,6B,5B,154193.725536209
13891,1712,Y,6B,5B,178866.334152466
6120,1073,Y,6B,5B,138403.476241138
1680,2452,Y,6B,5B,202634.217532539
10010,1960,Y,6B,5B,184794.385720662
9142,1224,Y,6B,5B,128715.784020593
9571,1224,Y,6B,5B,171093.461680551
7438,1718,Y,6B,5B,181802.910606136
9750,1482,Y,6B,5B,195675.75056277
10364,1054,Y,6B,5B,135099.165698873
8475,1294,Y,6B,5B,156706.400706357
5330,1436,Y,6B,5B,173851.324783645
8125,904,N,6B,5B,114099.436128215
13500,864,Y,6B,5B,149105.933937896
8450,981,Y,6B,5B,141877.51128916
9187,1152,Y,6B,5B,177303.568525577
2887,2224,Y,6B,5B,184153.439684741
8068,1039,Y,6B,5B,169250.081203543
8000,1113,Y,6B,5B,185911.887040712
10634,1358,Y,6B,5B,160407.428590709
9000,1306,N,6B,5B,133987.627821536
10125,1285,Y,6B,5B,143386.674904463
7200,2020,Y,6B,5B,201131.831949637
9100,1552,Y,6B,5B,152682.239214626
7931,1214,Y,6B,5B,136201.357549512
10140,1406,Y,6B,5B,221675.513560335
12224,1756,Y,6B,5B,222068.692695822
10171,1743,Y,6B,5B,170782.86029145
8400,1437,Y,6B,5B,146603.737923395
15750,1229,Y,6B,5B,177354.529552001
12919,1721,Y,6B,5B,223387.407474337
10335,1574,Y,6B,5B,225336.537757523
10839,1056,Y,6B,5B,130763.218139277
9873,1818,Y,6B,5B,189253.612388129
10175,2084,Y,6B,5B,198489.127686291
9101,1144,Y,6B,5B,211659.8115088
1869,2080,Y,6B,5B,211162.352699856
9571,1477,Y,6B,5B,171141.833363299
8176,2080,Y,6B,5B,171827.099610084
3196,860,Y,6B,5B,115921.398321939
7642,2078,Y,6B,5B,236985.882859241
3922,1718,Y,6B,5B,189470.834953398
14803,1601,Y,6B,5B,201684.41866555
16033,2126,Y,6B,5B,214386.695893463
12342,1647,Y,6B,5B,189241.880195899
3196,1603,Y,6B,5B,218863.623898052
8973,1067,Y,6B,5B,170555.236649705
14762,1198,Y,6B,5B,101855.997146734
5604,1601,Y,9B,6B,156520.205843578
9600,1647,Y,9B,6B,166677.422090166
1680,1370,Y,9B,6B,117950.774936524
3951,1775,Y,9B,6B,195103.266620081
4043,2110,Y,9B,6B,223494.189851521
1890,1577,Y,9B,6B,187837.658550023
9571,1411,Y,9B,6B,219987.3212973
9303,1768,Y,9B,6B,173488.917820138
3230,1511,Y,9B,6B,158607.960972278
9600,1710,Y,9B,6B,194735.368258209
12342,1092,Y,9B,6B,132080.622982095
15611,1402,Y,9B,6B,139189.553134287
10083,1196,Y,9B,6B,116226.387478383
13350,2259,Y,9B,6B,177576.202418007
6000,1054,Y,9B,6B,97047.1468834201
14762,1430,Y,9B,6B,196870.943894969
6960,1040,Y,9B,6B,122116.030361991
13101,1557,Y,9B,6B,209907.016065114
4426,1510,Y,9B,6B,147263.604331625
8400,1582,Y,9B,6B,139824.462666743
11888,2554,Y,9B,6B,172029.602591005
14115,1370,Y,9B,6B,167573.813193559
3500,1120,Y,9B,6B,105292.590210823
11241,1363,Y,9B,6B,149800.469185274
8339,1097,Y,9B,6B,104289.449548523
11694,1445,Y,9B,6B,193638.201449522
10452,1539,Y,9B,6B,171334.930224354
10125,1073,Y,9B,6B,154664.42716121
18800,1144,Y,9B,6B,131454.519679517
4500,1328,Y,9B,6B,171668.146733029
8967,864,Y,9B,6B,180288.805859497
11478,747,Y,9B,6B,125140.796142451
8846,1108,Y,9B,6B,177186.530741532
9549,789,N,7B,5B,69115.8413584386
7577,1774,Y,7B,5B,170960.360084229
21384,1053,Y,7B,5B,126000.290902971
4671,1750,Y,7B,5B,102430.708398718
10020,1561,N,7B,5B,135667.936458275
10084,1340,Y,7B,5B,138603.470616873
7642,1044,Y,7B,5B,124385.493481529
13600,894,Y,7B,5B,107539.076441904
9900,2267,Y,7B,5B,167913.647611639
14260,1040,Y,7B,5B,91983.0435191614
115149,2418,Y,7B,5B,206268.585138588
11070,2643,Y,7B,5B,200730.137241584
9022,1220,Y,7B,5B,108502.224799073
14948,1387,Y,7B,5B,116939.217508169
9750,1518,Y,7B,5B,144744.8068063
1920,1301,Y,7B,5B,139946.342313168
7875,923,Y,7B,5B,106969.379177578
10386,1479,Y,7B,5B,121414.793826022
1890,2612,Y,7B,5B,155499.911180418
10200,3493,Y,7B,5B,202783.849343921
5000,1152,Y,7B,5B,114229.349848223
8100,2728,Y,7B,5B,202193.55938428
7931,1919,Y,7B,5B,124980.699714552
40094,720,Y,7B,5B,150478.85620298
10159,1790,N,7B,5B,177882.225332925
10634,1304,Y,7B,5B,132975.394739258
10200,1986,Y,7B,5B,192983.565954326
5790,1978,N,7B,5B,146665.290164143
9803,999,Y,7B,5B,160698.169808134
9490,1694,Y,7B,5B,166425.658374172
7332,964,Y,7B,5B,126228.184159385
13695,2132,N,7B,5B,164569.64888548
8450,1400,Y,7B,5B,129396.875933508
7200,2046,Y,7B,5B,203383.075398581
10921,1709,Y,7B,5B,142444.266186096
10800,1500,Y,7B,5B,150023.869329096
10000,1382,Y,7B,5B,115674.171097875
13869,972,N,7B,5B,145043.043202048
11999,1472,Y,7B,5B,119086.964514981
9920,864,N,7B,5B,99282.8420626524
9100,789,Y,7B,5B,139889.338340952
13101,1929,Y,7B,5B,217057.816968447
2001,1850,Y,7B,5B,183163.597287317
12438,1464,Y,7B,5B,153485.546842463
11475,1431,Y,7B,5B,147606.812896197
7472,1337,N,7B,5B,156172.485546912
7420,1482,Y,7B,5B,133914.473078318
7920,1790,Y,7B,5B,181839.382357753
11302,1040,Y,7B,5B,102676.58006702
6130,988,Y,7B,5B,143567.639962423
9900,1824,Y,7B,5B,175044.569156369
3010,848,Y,7B,5B,104239.467861579
9906,1576,Y,7B,5B,156389.236086933
13300,860,Y,7B,5B,127415.205622556
4456,1310,Y,7B,5B,95684.3095887917
1936,2291,Y,7B,5B,205347.436304098
7758,3228,Y,7B,5B,172593.886964285
70761,1118,Y,7B,5B,156577.60838779
7588,1644,N,7B,5B,146108.280959638
11645,1328,Y,7B,5B,154633.473216786
10029,1961,Y,7B,5B,168321.50263356
13072,2531,Y,7B,5B,217467.78982131
12003,2452,Y,7B,5B,163664.993322748
5271,1445,Y,7B,5B,154147.238746638
2544,1621,Y,7B,5B,110595.759953146
10440,1502,Y,7B,5B,147122.428227045
16466,1392,Y,7B,5B,120799.486399739
9100,1959,Y,7B,5B,185243.498941199
11096,2295,Y,7B,5B,135385.952462676
11340,1389,Y,7B,5B,148771.221647517
7226,3194,N,7B,5B,186233.068531821
11341,2466,Y,7B,5B,195571.312001853
12435,1895,Y,7B,5B,161169.353340172
14230,1668,Y,7B,5B,180977.124966502
8924,1962,Y,7B,5B,144787.368066005
17503,1828,Y,7B,5B,166589.794240581
7931,1501,Y,7B,5B,149456.931581851
4500,1218,Y,7B,5B,118307.361876231
21695,1040,Y,7B,5B,135126.9206343
10402,1108,Y,7B,5B,181133.868187823
8400,1411,Y,7B,5B,120531.468574697
9020,1484,Y,7B,5B,161338.047271588
9571,1441,Y,7B,5B,135819.588195051
10237,864,Y,7B,5B,173419.994054373
53504,864,Y,7B,5B,202309.076607428
8777,1525,Y,7B,5B,154977.605575454
7399,1554,Y,7B,5B,206316.835486879
10400,1253,Y,7B,5B,184138.433116067
7200,1150,Y,7B,5B,103001.147909561
9786,1709,Y,7B,5B,135327.727676784
8633,1954,Y,7B,5B,224598.514791348
10769,2945,Y,7B,5B,224030.183496664
12735,1800,Y,7B,5B,151054.576264764
8480,1086,Y,7B,5B,165629.648950443
10382,987,Y,7B,5B,161347.236930926
10440,1456,Y,7B,5B,165308.319330794
11787,1375,Y,7B,5B,135434.900405478
7388,1316,Y,7B,5B,171296.452590254
8712,987,Y,7B,5B,85619.9047638276
10530,1198,Y,7B,5B,124747.389540501
5271,1092,Y,7B,5B,118673.268028724
11767,1487,Y,7B,5B,134987.279809801
3675,923,Y,7B,5B,136300.095625146
9600,1470,Y,7B,5B,156079.756019111
45600,1412,Y,7B,5B,188958.323617633
25419,1414,Y,7B,5B,133527.630272433
17671,1716,Y,7B,5B,198504.124722112
3230,4316,Y,7B,5B,216647.501457276
12735,1337,Y,7B,5B,129703.231518391
7024,1306,Y,7B,5B,136323.749197962
6600,1666,N,7B,5B,145048.685719867
9000,1728,Y,7B,5B,135013.487390384
8760,816,Y,7B,5B,156573.580784495
8880,1935,Y,7B,5B,157748.717621145
50271,996,Y,7B,5B,143139.51949137
11096,1478,Y,7B,5B,144938.200243965
6000,1973,Y,7B,5B,140448.840999454
4224,1680,Y,7B,5B,187303.446738339
11694,1262,Y,7B,5B,127268.02134871
12003,1194,Y,7B,5B,137820.730582701
9760,1073,Y,7B,5B,114570.551915957
2665,2794,Y,7B,5B,184729.699660218
8777,1820,Y,7B,5B,137855.385738736
9320,1993,Y,7B,5B,173523.149468594
17120,912,Y,7B,5B,190401.616310472
14559,1646,Y,7B,5B,172044.90893921
4500,1826,Y,7B,5B,134530.348433228
7200,1159,Y,7B,5B,130577.507369109
8472,1229,Y,7B,5B,151568.716376231
10400,1392,N,7B,5B,159065.472687162
18450,1644,Y,7B,5B,162705.851043539
22950,1432,N,7B,5B,154197.131166409
8765,1904,Y,7B,5B,155487.016410706
8472,2256,Y,7B,5B,181150.410275447
15750,1136,Y,7B,5B,141965.545407564
6911,1453,N,7B,5B,148437.729574274
8978,1752,Y,7B,5B,177783.119776783
6204,1576,Y,7B,5B,117572.363937497
12704,1721,N,7B,5B,197673.743368731
7922,2084,Y,7B,5B,163921.236888622
9765,1225,N,7B,5B,145941.317630192
10728,2060,Y,7B,5B,133877.138591353
7200,1629,Y,7B,5B,194717.713733822
11207,1651,N,7B,5B,190841.564658843
9297,864,Y,7B,5B,146807.400952349
8849,1360,Y,7B,5B,166084.554057637
8070,1393,Y,7B,5B,162550.892347648
9000,1795,Y,7B,5B,175500.842903022
8320,1844,Y,7B,5B,195584.692727821
7658,1590,Y,7B,5B,158120.376749981
13474,1163,Y,7B,5B,198289.234561498
6120,1718,Y,7B,5B,135095.962075878
14200,1635,Y,7B,5B,165359.378285166
6930,1067,N,7B,5B,103908.07512057
7711,1688,Y,7B,5B,84619.0472341245
9291,894,Y,7B,5B,159145.917709798
10012,1052,Y,7B,5B,123213.47355988
4928,1978,Y,7B,5B,176403.002818689
9196,1812,Y,7B,5B,200671.527430904
10624,2468,Y,7B,5B,190185.35268618
7677,948,Y,7B,5B,87816.7580374485
19138,1717,Y,7B,5B,206861.686828911
12090,1406,Y,7B,5B,182068.227041635
7314,1226,N,7B,5B,168462.095896403
12003,1573,Y,7B,5B,143613.384268951
12589,1269,Y,7B,5B,125502.323782589
14226,1968,Y,7B,5B,202910.172636479
10200,1940,Y,7B,5B,165009.990066698
5520,1986,Y,7B,5B,161803.117782906
14226,1768,N,7B,5B,174765.716926995
14762,1477,Y,7B,5B,156761.821671772
13695,1493,Y,7B,5B,137969.297782324
26178,894,Y,7B,5B,165606.553303285
6292,1479,Y,7B,5B,164906.657952264
9375,2610,N,7B,5B,166873.231813743
9900,520,Y,7B,5B,139474.729974764
3196,1026,Y,7B,5B,87305.7779332195
4043,2715,Y,7B,5B,212654.851095233
13284,1489,Y,7B,5B,178906.175054
5586,902,Y,7B,5B,66020.0894248555
6155,1117,Y,7B,5B,100977.301059901
9636,1595,Y,7B,5B,139555.683167542
9800,1268,Y,7B,5B,187695.392635048
16226,2468,Y,7B,5B,201029.852740831
16321,1665,Y,7B,5B,181399.726964687
15576,729,Y,7B,5B,141694.886049137
16659,1414,Y,7B,5B,175773.97629479
6040,1593,Y,7B,5B,119561.903770935
10000,2057,Y,7B,5B,171192.140958104
15750,1125,Y,7B,5B,135595.224077424
53504,2376,Y,7B,5B,222549.164057783
8405,1090,Y,7B,5B,150122.554754088
7844,1635,Y,7B,5B,169372.586290409
8750,2080,Y,7B,5B,156620.230758015
7844,1183,Y,7B,5B,89647.7002607955
9525,803,Y,7B,5B,146710.627142884
8480,1786,Y,7B,5B,180569.493764332
13651,1453,Y,7B,5B,197535.381929795
14977,2028,Y,7B,5B,178552.450312509
14200,1309,Y,7B,5B,117304.56645407
31770,1314,Y,7B,5B,168931.626812262
50271,1774,Y,7B,5B,222010.852975005
5820,1301,Y,7B,5B,128899.200061197
11120,969,Y,7B,5B,120744.48607837
15576,2030,Y,7B,5B,199481.936849269
21453,2324,Y,7B,5B,206081.830159737
8450,1928,Y,7B,5B,190845.676059021
13005,1632,Y,7B,5B,243661.900914639
7200,2291,Y,7B,5B,162992.688552851
8198,480,Y,7B,5B,161414.85247958
11228,1196,Y,7B,5B,123459.97997532
14175,1700,Y,7B,5B,185237.544223121
3000,1603,Y,7B,5B,162720.558737693
8712,2295,Y,7B,5B,195082.626484816
9206,1464,Y,7B,5B,183993.609698776
16905,1750,Y,7B,5B,141635.237804959
13891,1560,Y,7B,5B,141381.824786322
14215,1588,Y,7B,5B,216550.955291867
6292,1208,Y,7B,5B,139012.876791932
10400,1362,Y,7B,5B,188501.523970962
10011,1062,Y,7B,5B,133402.651364182
10637,2080,Y,7B,5B,157961.952703915
50271,1350,Y,7B,5B,177327.997878792
11214,1536,Y,7B,5B,146086.883032754
7449,1872,Y,7B,5B,169545.452224439
9250,1328,Y,7B,5B,189657.910253407
11428,1852,Y,7B,5B,128479.925536336
6060,2380,Y,7B,5B,170915.428467153
6780,1159,Y,7B,5B,184825.774036114
7758,925,Y,7B,5B,120009.114098326
5720,1701,Y,7B,5B,141823.08684672
10400,2872,Y,7B,5B,195274.899582027
10380,1386,Y,7B,5B,137693.012312188
9017,1764,Y,7B,5B,211127.643784917
10005,928,Y,7B,5B,168298.860326133
10400,1412,Y,7B,5B,164151.371395772
9000,2256,N,7B,5B,187003.67316143
7875,1786,Y,7B,5B,173054.880070876
3922,2243,Y,7B,5B,172771.107809607
9600,1512,Y,7B,5B,135934.425192807
8500,2296,Y,7B,5B,214645.144820383
8658,1541,Y,7B,5B,148232.353892625
7862,1573,Y,7B,5B,182708.165841162
9790,2198,Y,7B,5B,177236.767638767
10380,1535,Y,7B,5B,203643.615251732
8816,2643,Y,7B,5B,192274.079301402
8393,1060,Y,7B,5B,119014.911721672
39104,1131,Y,7B,5B,164278.153777103
7018,1216,Y,7B,5B,189770.952312642
8500,694,Y,7B,5B,146551.887136356
8924,882,N,7B,5B,155724.654461442
9600,1039,Y,7B,5B,140040.559310959
10011,1355,Y,7B,5B,188583.480455991
8172,1750,Y,7B,5B,198397.08102438
13693,2198,Y,7B,5B,184927.016637553
2500,2082,Y,7B,5B,206068.328909401
7024,987,Y,7B,5B,137793.015398831
15431,1992,Y,7B,5B,178927.890897691
8400,1314,Y,7B,5B,156301.644000088
5784,747,Y,7B,5B,143637.495804484
11340,1212,Y,7B,5B,158187.102295636
8973,971,Y,7B,5B,174380.955838801
7922,1092,Y,7B,5B,143095.552637572
7642,1812,Y,7B,5B,192871.558955758
12224,1226,Y,7B,5B,131367.540141145
2544,1142,Y,7B,5B,158960.627092514
4426,480,Y,7B,5B,179162.294050298
10970,747,Y,7B,5B,160305.489813423
22950,1392,Y,7B,5B,170032.715721692
7590,1392,Y,7B,5B,122735.177924941
12209,1072,Y,7B,5B,129496.891056005
9142,1262,Y,7B,5B,138712.634893792
10289,1714,Y,7B,5B,176835.08647047
17423,2069,Y,7B,5B,200774.820027029
10012,2402,Y,7B,5B,204337.45707881
11475,1062,Y,7B,5B,169008.200926782
18800,894,Y,7B,5B,212275.23132137
7064,1638,Y,7B,5B,141351.779475049
9375,1535,Y,7B,5B,136725.612014932
8546,1200,Y,7B,5B,178586.3230817
10769,1510,Y,7B,5B,167770.480580818
12665,1196,Y,7B,5B,160808.77695102
7795,773,Y,7B,5B,157786.203614096
12354,1144,Y,7B,5B,156781.483911588
8536,2142,Y,7B,5B,158891.015894481
12203,1604,Y,7B,5B,168056.738705999
12003,2110,Y,7B,5B,240312.293048975
9991,2468,Y,7B,5B,179787.414177163
10839,1710,Y,7B,5B,184783.791292117
4400,1352,Y,7B,5B,149391.025221883
8658,1065,Y,7B,5B,168376.735535017
9100,1248,Y,7B,5B,172679.075924245
7930,2287,Y,7B,5B,235332.180929533
5000,1616,N,7B,5B,168646.757497928
9000,988,Y,7B,5B,151799.46976127
8800,2236,Y,7B,5B,140453.593333754
8000,1481,Y,7B,5B,180326.172593103
34650,1363,Y,7B,5B,175930.822415799
24090,924,Y,7B,5B,126832.012788103
7200,2030,Y,7B,5B,213761.130921259
9450,1928,Y,7B,5B,191537.973735043
9430,1200,Y,7B,5B,153762.667465746
7332,1224,Y,7B,5B,132579.978656535
3675,2002,Y,7B,5B,175392.441293329
8244,2098,Y,7B,5B,175402.830642778
9591,1225,Y,7B,5B,191016.34649265
34650,2183,Y,7B,5B,199216.840599566
10106,2020,Y,7B,5B,176567.579843704
11717,1560,Y,7B,5B,179652.949919448
11694,987,Y,7B,5B,136971.808762568
5000,1826,Y,7B,5B,150269.51147047
8925,1872,Y,7B,5B,209971.895731091
7332,1054,Y,7B,5B,125173.85436592
7060,1232,Y,7B,5B,189371.658652767
9600,1620,Y,7B,5B,197939.027031636
10142,1250,Y,7B,5B,170553.385284041
10395,1709,Y,7B,5B,178565.794415033
8070,1392,Y,7B,5B,222812.757077075
10570,1501,Y,7B,5B,135724.41374684
5400,1680,Y,7B,5B,156540.827140286
7200,2134,Y,7B,5B,201230.120152018
15611,1836,Y,7B,5B,156250.70572954
4274,925,Y,7B,5B,166617.371941424
7875,2234,Y,7B,5B,163218.460675582
8450,1224,Y,7B,5B,153241.065314811
28698,1291,Y,7B,5B,150406.718446341
1869,1820,Y,7B,5B,164812.866949904
10106,1576,Y,7B,5B,167414.775370767
13682,894,Y,7B,5B,158613.538401936
8755,1350,Y,7B,5B,187148.961437952
11250,988,Y,7B,5B,188748.315644712
8430,1200,Y,7B,5B,155479.786479137
9142,2127,Y,7B,5B,169237.757227074
7630,1180,Y,7B,5B,189984.666893494
13682,1224,Y,7B,5B,181527.276203513
8400,864,Y,7B,5B,139008.157765442
8100,2274,Y,7B,5B,153212.789450867
11428,2080,Y,7B,5B,193949.979630223
8500,1414,Y,7B,5B,161892.222760484
7200,1717,Y,7B,5B,216452.694618793
15426,2624,Y,7B,5B,243761.881152522
14006,848,Y,7B,5B,123235.346677453
3922,1620,Y,7B,5B,156503.83515056
21535,1718,Y,7B,5B,202575.203782151
11248,1248,N,7B,5B,154652.311181917
11443,1431,Y,7B,5B,184675.686431497
8068,1344,N,7B,5B,195012.792461136
8246,1314,N,7B,5B,159627.375039569
7851,1080,Y,7B,5B,163119.778647395
9018,1217,Y,7B,5B,139873.582095645
12220,960,Y,7B,5B,178434.184601561
9675,2727,Y,7B,5B,196980.623653651
14191,2217,Y,7B,5B,202861.150601645
14536,1644,Y,7B,5B,182603.295853573
7800,1978,N,7B,5B,175137.719239114
12003,1048,Y,7B,5B,154446.713116018
13159,2028,Y,7B,5B,187714.796825687
11616,1797,Y,7B,5B,214317.474130988
3182,1092,Y,7B,5B,134513.749320776
7819,980,Y,7B,5B,116078.000759496
10603,1826,Y,7B,5B,206845.214965992
1491,1199,Y,7B,5B,118454.359551975
10839,981,Y,7B,5B,130706.356441898
11075,2046,Y,7B,5B,207024.833392935
